Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
----  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc    poi_nll    poi_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
  69     0.0053     0.1864    90.9300     0.7612    83.6400     0.1786    95.0800    29.5398
  70     0.0051     0.1851    91.0020     0.8329    82.1800     0.0413    98.5200    29.5107
  71     0.0048     0.1815    91.1460     0.8355    82.9300     0.0889    97.0400    29.4647
  72     0.0046     0.1800    91.2320     0.8003    83.2000     0.0879    97.2400    29.4733
  73     0.0043     0.1707    91.5500     0.8145    83.2300     0.0460    98.1400    29.5417
  74     0.0041     0.1741    91.3860     0.9056    81.5200     0.0193    99.1000    29.4871
  75     0.0038     0.1674    91.8360     0.8101    83.5400     0.0802    97.5800    29.4191
  76     0.0036     0.1672    91.7220     0.8292    83.1200     0.0350    98.6000    29.7490
  77     0.0033     0.1622    91.9860     0.8304    83.8500     0.1037    96.9000    29.5872
  78     0.0031     0.1562    92.2660     0.8761    82.7600     0.0331    98.6600    29.6570
  79     0.0028     0.1596    92.0640     0.8875    83.0100     0.0372    98.6400    29.5076
  80     0.0026     0.1554    92.3600     0.8753    83.1600     0.0452    98.3200    29.7423
----  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc    poi_nll    poi_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.0023     0.1537    92.4720     0.8939    83.0600     0.0342    98.8200    29.6073
  82     0.0021     0.1546    92.3980     0.8619    83.4000     0.0457    98.5400    29.7639
  83     0.0018     0.1479    92.7100     0.8954    83.2100     0.0513    98.3200    29.6457
  84     0.0016     0.1470    92.7420     0.9154    83.3400     0.0552    98.3000    29.6518
  85     0.0013     0.1470    92.8020     0.9057    83.2600     0.0535    98.2600    29.4829
  86     0.0011     0.1419    92.9040     0.8948    83.4700     0.0488    98.4200    29.7399
  87     0.0008     0.1424    93.0240     0.9036    83.5700     0.0601    98.2600    29.6344
  88     0.0006     0.1402    93.0420     0.9035    83.6900     0.0732    98.0600    29.6658
  89     0.0003     0.1405    93.0600     0.9030    83.7000     0.0501    98.5800    29.6136
  90     0.0001     0.1404    93.1500     0.9084    83.7000     0.0507    98.5600    29.9548
  91     0.0001     0.1399    93.0980     0.9217    83.5800     0.0467    98.5000    29.6811
  92     0.0001     0.1399    93.0940     0.8999    83.8600     0.0579    98.4400    29.6737
  93     0.0001     0.1370    93.1760     0.9135    83.6500     0.0403    98.6800    29.5319
  94     0.0001     0.1380    93.3260     0.9094    83.7900     0.0468    98.5400    29.7231
  95     0.0001     0.1417    92.9840     0.9249    83.5800     0.0444    98.7400    29.7297
  96     0.0001     0.1395    93.1500     0.9251    83.6900     0.0506    98.4600    29.5990
  97     0.0001     0.1384    93.2500     0.9192    83.6000     0.0557    98.2800    29.5827
  98     0.0001     0.1371    93.2440     0.9104    83.9400     0.0532    98.4600    29.5771
  99     0.0001     0.1384    93.2260     0.9174    83.6800     0.0370    98.8800    29.7549
 100     0.0001     0.1384    93.1680     0.9235    83.5400     0.0469    98.5800    29.7485
